Date,Open,High,Low,Close,Adj_Close,Volume
2010-01-04,5975.52002,6048.299805,5974.430176,6048.299805,6048.299805,104344400.0
2010-01-05,6043.939941,6058.02002,6015.669922,6031.859863,6031.859863,117572100.0
2010-01-06,6032.390137,6047.569824,5997.089844,6034.330078,6034.330078,108742400.0
2010-01-07,6016.799805,6037.569824,5961.25,6019.359863,6019.359863,133704300.0
2010-01-08,6028.620117,6053.040039,5972.240234,6037.609863,6037.609863,126099000.0
2010-01-11,6057.930176,6094.259766,6031.140137,6040.5,6040.5,103675800.0
2010-01-12,6039.390137,6055.560059,5924.720215,5943.0,5943.0,129269700.0
2010-01-13,5937.169922,5974.439941,5925.240234,5963.140137,5963.140137,114728400.0
2010-01-14,5999.080078,6009.910156,5951.689941,5988.879883,5988.879883,115453700.0
2010-01-15,5996.560059,6025.359863,5866.839844,5875.970215,5875.970215,156035200.0
2010-01-18,5897.629883,5922.930176,5877.649902,5918.549805,5918.549805,79532100.0
2010-01-19,5905.330078,5988.799805,5849.669922,5976.47998,5976.47998,113604900.0
2010-01-20,5963.709961,5972.77002,5832.089844,5851.529785,5851.529785,118371200.0
2010-01-21,5878.240234,5908.850098,5742.450195,5746.970215,5746.970215,138594400.0
2010-01-22,5735.680176,5740.870117,5639.490234,5695.319824,5695.319824,177787000.0
2010-01-25,5662.850098,5693.859863,5624.580078,5631.370117,5631.370117,122382000.0
2010-01-26,5593.939941,5675.959961,5574.459961,5668.930176,5668.930176,140930900.0
2010-01-27,5643.52002,5673.72998,5589.009766,5643.200195,5643.200195,143566600.0
2010-01-28,5687.100098,5718.810059,5540.330078,5540.330078,5540.330078,185119100.0
2010-01-29,5566.029785,5657.870117,5556.189941,5608.790039,5608.790039,206927000.0
2010-02-01,5587.5,5674.209961,5567.720215,5654.47998,5654.47998,130680700.0
2010-02-02,5664.25,5723.200195,5624.609863,5709.660156,5709.660156,137793900.0
2010-02-03,5715.160156,5733.709961,5656.899902,5672.089844,5672.089844,133970300.0
2010-02-04,5671.169922,5696.939941,5522.569824,5533.240234,5533.240234,170297100.0
2010-02-05,5515.689941,5527.0,5433.02002,5434.339844,5434.339844,234113800.0
2010-02-08,5476.470215,5505.060059,5434.399902,5484.850098,5484.850098,137808300.0
2010-02-09,5485.310059,5537.970215,5461.509766,5498.259766,5498.259766,130402000.0
2010-02-10,5533.709961,5592.27002,5505.370117,5536.370117,5536.370117,132047100.0
2010-02-11,5562.830078,5580.77002,5454.069824,5503.930176,5503.930176,122397400.0
2010-02-12,5550.450195,5565.430176,5460.049805,5500.390137,5500.390137,114810000.0
2010-02-15,5525.740234,5547.140137,5502.490234,5511.100098,5511.100098,61554900.0
2010-02-16,5573.069824,5592.120117,5498.069824,5592.120117,5592.120117,106068700.0
2010-02-17,5640.169922,5682.359863,5634.97998,5648.339844,5648.339844,122735600.0
2010-02-18,5645.629883,5691.600098,5626.080078,5680.410156,5680.410156,125325700.0
2010-02-19,5627.259766,5729.580078,5626.569824,5722.049805,5722.049805,121594600.0
2010-02-22,5741.0,5743.890137,5683.609863,5688.439941,5688.439941,94749200.0
2010-02-23,5715.629883,5732.140137,5584.470215,5604.069824,5604.069824,138143800.0
2010-02-24,5622.310059,5639.709961,5572.25,5615.509766,5615.509766,130761600.0
2010-02-25,5562.700195,5655.75,5518.27002,5532.330078,5532.330078,150089500.0
2010-02-26,5588.990234,5605.100098,5530.189941,5598.459961,5598.459961,114404300.0
2010-03-01,5652.850098,5717.720215,5641.180176,5713.509766,5713.509766,98501000.0
2010-03-02,5728.279785,5780.140137,5709.740234,5776.560059,5776.560059,116696700.0
2010-03-03,5759.220215,5828.799805,5750.299805,5817.879883,5817.879883,104617500.0
2010-03-04,5773.859863,5823.109863,5767.649902,5795.319824,5795.319824,103410600.0
2010-03-05,5816.189941,5880.25,5808.359863,5877.359863,5877.359863,111636900.0
2010-03-08,5891.740234,5894.189941,5865.439941,5875.910156,5875.910156,87016800.0
2010-03-09,5872.569824,5900.160156,5838.169922,5885.890137,5885.890137,97415100.0
2010-03-10,5882.759766,5951.930176,5874.75,5936.720215,5936.720215,98407000.0
2010-03-11,5913.169922,5954.549805,5906.839844,5928.629883,5928.629883,92700100.0
2010-03-12,5944.569824,5989.879883,5934.149902,5945.109863,5945.109863,119231100.0
2010-03-15,5933.629883,5953.189941,5898.220215,5903.560059,5903.560059,85800100.0
2010-03-16,5935.189941,5991.109863,5930.339844,5970.990234,5970.990234,96262600.0
2010-03-17,5999.310059,6035.950195,5991.209961,6024.279785,6024.279785,117454400.0
2010-03-18,6005.290039,6039.390137,5995.680176,6012.310059,6012.310059,100887700.0
2010-03-19,6031.72998,6041.950195,5956.649902,5982.430176,5982.430176,242229400.0
2010-03-22,5960.850098,5987.5,5910.850098,5987.5,5987.5,104197500.0
2010-03-23,5987.089844,6030.939941,5981.350098,6017.27002,6017.27002,106650100.0
